,TS.BA,APBR.BA,BMA.BA,COME.BA,PESA.BA,FRAN.BA,EDN.BA,PAMP.BA,GGAL.BA,ALUA.BA,TECO2.BA,YPFD.BA,ERAR.BA
TS.BA,1.0,0.7873129777073408,-0.0903581661717504,0.2943262549859302,-0.6936370836898955,-0.8054764637494799,-0.034043347101513896,-0.6792919503758428,-0.7485681960660584,-0.49827782648395386,-0.3920613486543442,-0.6007702338762186,-0.48360344482397677
APBR.BA,0.7873129777073408,1.0,0.06737576921752801,0.18686951756712783,-0.40954623581629956,-0.8652413450077258,0.186618230767734,-0.3776768611288302,-0.8512724007636893,-0.3199193168000236,-0.5981669246536346,-0.6787737601695729,-0.11288500545667124
BMA.BA,-0.0903581661717504,0.06737576921752801,1.0,-0.3095881091840592,0.539630945442715,0.15296540548123103,0.3420047923364491,0.5163121247825311,0.18988018413995347,0.31568577138067816,0.25868530713774046,0.009432868799636332,0.22155473625098215
COME.BA,0.2943262549859302,0.18686951756712783,-0.3095881091840592,1.0,-0.45641515640136276,-0.051636760056570016,-0.3230728250043465,-0.5142678435742506,0.0400635882905881,0.14958804926938063,0.07891641946536332,0.15304050914243095,0.09680778932044552
PESA.BA,-0.6936370836898955,-0.40954623581629956,0.539630945442715,-0.45641515640136276,1.0,0.5314261213668602,0.4885890586048664,0.9559384939460869,0.5077835530940144,0.592566221843316,0.47744524199283433,0.3642737061342781,0.422035208846259
FRAN.BA,-0.8054764637494799,-0.8652413450077258,0.15296540548123103,-0.051636760056570016,0.5314261213668602,1.0,-0.23910770471824222,0.4846284106982193,0.9361139855361159,0.4556207369298781,0.5907887856380126,0.8710975687704108,0.48135704292523734
EDN.BA,-0.034043347101513896,0.186618230767734,0.3420047923364491,-0.3230728250043465,0.4885890586048664,-0.23910770471824222,1.0,0.46887108282760087,-0.15571718844913146,0.20608450291548563,0.12666071402180146,-0.39029358108351925,-0.1835272147125653
PAMP.BA,-0.6792919503758428,-0.3776768611288302,0.5163121247825311,-0.5142678435742506,0.9559384939460869,0.4846284106982193,0.46887108282760087,1.0,0.4635301929706444,0.5605337110677083,0.46144332703009544,0.326902230540016,0.37323973719507514
GGAL.BA,-0.7485681960660584,-0.8512724007636893,0.18988018413995347,0.0400635882905881,0.5077835530940144,0.9361139855361159,-0.15571718844913146,0.4635301929706444,1.0,0.5246790018611031,0.7342057416948434,0.8015857478503393,0.2991586802022722
ALUA.BA,-0.49827782648395386,-0.3199193168000236,0.31568577138067816,0.14958804926938063,0.592566221843316,0.4556207369298781,0.20608450291548563,0.5605337110677083,0.5246790018611031,1.0,0.5286064073037647,0.39415320480276506,0.4411476068660439
TECO2.BA,-0.3920613486543442,-0.5981669246536346,0.25868530713774046,0.07891641946536332,0.47744524199283433,0.5907887856380126,0.12666071402180146,0.46144332703009544,0.7342057416948434,0.5286064073037647,1.0,0.5062635251424731,-0.07475680172571446
YPFD.BA,-0.6007702338762186,-0.6787737601695729,0.009432868799636332,0.15304050914243095,0.3642737061342781,0.8710975687704108,-0.39029358108351925,0.326902230540016,0.8015857478503393,0.39415320480276506,0.5062635251424731,1.0,0.5670291895293789
ERAR.BA,-0.48360344482397677,-0.11288500545667124,0.22155473625098215,0.09680778932044552,0.422035208846259,0.48135704292523734,-0.1835272147125653,0.37323973719507514,0.2991586802022722,0.4411476068660439,-0.07475680172571446,0.5670291895293789,1.0
