Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,94.0,98.0,92.949997,97.449997,97.449997,1031558
2017-07-04,100.0,100.0,96.0,96.300003,96.300003,170183
2017-07-05,96.5,101.0,96.5,98.699997,98.699997,734132
2017-07-06,99.0,99.900002,97.650002,98.0,98.0,568269
2017-07-07,98.0,98.050003,95.0,95.800003,95.800003,155795
2017-07-10,95.849998,98.0,95.800003,97.75,97.75,90854
2017-07-11,98.0,99.25,96.25,98.900002,98.900002,178019
2017-07-12,99.75,99.75,95.900002,97.0,97.0,76597
2017-07-13,98.0,98.0,95.099998,96.0,96.0,165927
2017-07-14,97.0,97.75,95.0,95.75,95.75,212298
2017-07-17,94.5,95.099998,93.099998,94.949997,94.949997,185731
2017-07-18,94.199997,95.199997,92.0,93.0,93.0,239648
2017-07-19,93.050003,99.0,93.050003,95.900002,95.900002,107518
2017-07-20,95.800003,96.300003,95.0,96.25,96.25,58753
2017-07-21,96.400002,98.0,96.0,96.5,96.5,51446
2017-07-24,96.699997,98.199997,96.699997,97.25,97.25,80875
2017-07-25,97.0,97.599998,95.300003,96.0,96.0,37649
2017-07-26,96.0,96.5,95.0,96.0,96.0,49235
2017-07-27,96.0,96.800003,95.0,96.150002,96.150002,62214
2017-07-28,95.0,97.0,93.800003,97.0,97.0,55868
2017-07-31,96.650002,96.650002,93.75,94.0,94.0,62547
2017-08-01,94.0,95.0,93.050003,93.099998,93.099998,72615
2017-08-02,92.050003,94.0,91.0,94.0,94.0,161060
